iter	MultiClass
0	1.038694306
1	0.9923249581
2	0.9567061366
3	0.9254611357
4	0.8991590292
5	0.8764662912
6	0.856830743
7	0.8390286111
8	0.8255766867
9	0.8111183278
10	0.8008494858
11	0.7935548954
12	0.7826360677
13	0.7753472833
14	0.7679713707
15	0.7617332421
16	0.7549917482
17	0.7485844208
18	0.7442470195
19	0.7388381471
20	0.7358844892
21	0.7326218492
22	0.7294718692
23	0.7276578259
24	0.7244037497
25	0.7216999674
26	0.7194377078
27	0.7182501607
28	0.716079888
29	0.7123999655
30	0.7100817512
31	0.7078775992
32	0.7059671263
33	0.7043762278
34	0.7033154086
35	0.7012686687
36	0.6973528333
37	0.6952227393
38	0.6920580663
39	0.689539057
40	0.6878223256
41	0.6864257909
42	0.6855002096
43	0.6827488597
44	0.6813832524
45	0.6784880512
46	0.6763603812
47	0.6741782337
48	0.6729393945
49	0.6713130661
50	0.6688034884
51	0.6675762738
52	0.6667579357
53	0.665735235
54	0.6647137839
55	0.6639309663
56	0.6629211152
57	0.661674668
58	0.6606226058
59	0.6584310214
60	0.6564479179
61	0.6549727738
62	0.6522840417
63	0.6510031245
64	0.6496551433
65	0.6486219089
66	0.6478703693
67	0.645950431
68	0.6441481792
69	0.642879299
70	0.6421139146
71	0.6412594122
72	0.6399265486
73	0.6389557214
74	0.6383937109
75	0.6366230892
76	0.635483637
77	0.6348853098
78	0.6316439732
79	0.6301512367
80	0.6293952988
81	0.6287469077
82	0.6273357843
83	0.6243245518
84	0.62369201
85	0.6227687278
86	0.6213261358
87	0.6201771697
88	0.6189495681
89	0.6176674112
90	0.6161573252
91	0.6156817782
92	0.6146978647
93	0.6138278836
94	0.6122451394
95	0.6115874134
96	0.6109811667
97	0.6097801656
98	0.608097794
99	0.6074156473
100	0.6057907348
101	0.6044263467
102	0.603366141
103	0.6026604189
104	0.6013545688
105	0.6004028646
106	0.599595011
107	0.598072097
108	0.5974148271
109	0.5965608168
110	0.5955683368
111	0.5937522517
112	0.5925130765
113	0.591914995
114	0.590824122
115	0.5904048871
116	0.5891688431
117	0.588079836
118	0.5870732869
119	0.5863906576
120	0.5858493556
121	0.5839028015
122	0.5829263576
123	0.5826163093
124	0.5815056769
125	0.5805977064
126	0.5795200137
127	0.5785008101
128	0.5773020272
129	0.5765574493
130	0.5757789679
131	0.5748570903
132	0.5740212455
133	0.5731782158
134	0.572227166
135	0.5713975245
136	0.5710889321
137	0.5699896693
138	0.5690699135
139	0.567819843
140	0.5671529645
141	0.5661035256
142	0.5649036917
143	0.5639431814
144	0.5629164064
145	0.5618667526
146	0.5600476535
147	0.5594548585
148	0.5589422978
149	0.5573476706
150	0.5567422982
151	0.5558121393
152	0.5554873016
153	0.5537512117
154	0.5529854725
155	0.5516409314
156	0.5509040025
157	0.5500356036
158	0.5492370348
159	0.5488001503
160	0.548112069
161	0.5475103397
162	0.5462133541
163	0.5456552537
164	0.544619728
165	0.5443085669
166	0.543545915
167	0.5426081212
168	0.5419890375
169	0.5414132118
170	0.5405928721
171	0.5399239205
172	0.5391319692
173	0.5384130397
174	0.5375218303
175	0.536815976
176	0.5361555926
177	0.5351046909
178	0.534316471
179	0.533772075
180	0.5328531489
181	0.5320745273
182	0.5313541589
183	0.5300827999
184	0.5290060236
185	0.528350226
186	0.528068559
187	0.5266043441
188	0.525983513
189	0.5252737631
190	0.5248746923
191	0.5236355251
192	0.5227836614
193	0.5220640082
194	0.5208288739
195	0.5200242572
196	0.5194390233
197	0.5187396834
198	0.5185841062
199	0.517769439
200	0.5174923775
201	0.5166352825
202	0.5158951967
203	0.5155093463
204	0.5149646121
205	0.5139869079
206	0.5131778669
207	0.512539794
208	0.5119932286
209	0.5115408005
210	0.5107498249
211	0.5102424368
212	0.5092258112
213	0.5084177728
214	0.5081617478
215	0.5075082281
216	0.5071869281
217	0.506431622
218	0.5053612912
219	0.5044783133
220	0.5033599142
221	0.5025248573
222	0.5022250549
223	0.5014982891
224	0.5010136621
225	0.5001983117
226	0.4989284305
227	0.498341268
228	0.4979071634
229	0.497191474
230	0.4964905277
231	0.4952393926
232	0.4938321961
233	0.4934705311
234	0.4929252673
235	0.4921791887
236	0.4916025967
237	0.4911934396
238	0.4902952339
239	0.4897193598
240	0.488836164
241	0.4886128504
242	0.4880632614
243	0.48716499
244	0.4863089376
245	0.4855224471
246	0.4845676702
247	0.4837199165
248	0.4831705472
249	0.4826307139
250	0.4823499234
251	0.4814275867
252	0.4810114974
253	0.4804880145
254	0.4800778281
255	0.4796151177
256	0.4791986758
257	0.4785774332
258	0.4782324507
259	0.47741389
260	0.4769978843
261	0.4766866773
262	0.4758733422
263	0.4752825172
264	0.4747894967
265	0.4740817498
266	0.4730824421
267	0.4725059321
268	0.471974787
269	0.4711060876
270	0.4703379381
271	0.4697910898
272	0.4690042136
273	0.4685748336
274	0.4680503015
275	0.4675312016
276	0.4667929644
277	0.4664808609
278	0.4659206547
279	0.4655184896
280	0.4650804802
281	0.464489631
282	0.4635268661
283	0.4630176451
284	0.4625389088
285	0.462037747
286	0.4613230064
287	0.4607092028
288	0.4596314868
289	0.4590769985
290	0.4583706754
291	0.4577709462
292	0.4572533389
293	0.4568901633
294	0.4565157946
295	0.4562711353
296	0.4553516159
297	0.454920534
298	0.4546025496
299	0.4544830871
