iter	Passed	Remaining
0	2	821
1	5	786
2	7	751
3	10	764
4	12	744
5	14	731
6	17	725
7	19	721
8	22	714
9	24	709
10	26	701
11	28	692
12	31	684
13	33	678
14	35	670
15	37	662
16	39	657
17	41	657
18	43	649
19	46	647
20	48	645
21	50	640
22	52	637
23	53	620
24	56	616
25	58	618
26	60	615
27	63	613
28	65	610
29	67	606
30	69	605
31	72	603
32	74	601
33	76	598
34	78	595
35	81	595
36	83	593
37	85	590
38	88	589
39	90	587
40	92	584
41	95	584
42	97	581
43	99	579
44	102	578
45	104	575
46	106	572
47	108	570
48	110	567
49	113	566
50	115	565
51	118	564
52	120	562
53	123	561
54	125	558
55	127	555
56	129	552
57	131	549
58	134	547
59	136	545
60	138	543
61	141	541
62	143	539
63	145	535
64	147	533
65	149	530
66	151	527
67	154	526
68	156	525
69	159	522
70	161	521
71	163	518
72	165	515
73	168	513
74	170	511
75	172	509
76	175	508
77	177	506
78	179	503
79	182	501
80	184	499
81	187	497
82	189	495
83	192	494
84	195	493
85	197	492
86	200	490
87	202	488
88	205	486
89	207	484
90	209	481
91	211	479
92	214	476
93	216	474
94	218	472
95	220	469
96	223	466
97	225	464
98	227	462
99	229	459
100	232	457
101	234	455
102	236	452
103	238	450
104	241	448
105	243	445
106	246	443
107	248	441
108	250	439
109	253	438
110	255	435
111	258	433
112	260	430
113	262	428
114	264	426
115	267	424
116	269	421
117	271	419
118	274	416
119	276	414
120	278	412
121	280	409
122	283	407
123	285	405
124	287	402
125	289	400
126	292	397
127	294	395
128	296	393
129	298	390
130	301	388
131	303	385
132	305	383
133	307	380
134	309	378
135	311	375
136	313	373
137	316	371
138	318	368
139	320	366
140	322	363
141	324	360
142	326	358
143	328	356
144	331	353
145	333	351
146	335	349
147	337	346
148	339	344
149	341	341
150	344	339
151	346	337
152	348	335
153	350	332
154	353	330
155	355	328
156	357	325
157	360	323
158	362	321
159	364	319
160	367	317
161	369	314
162	371	312
163	373	309
164	376	307
165	378	305
166	380	303
167	383	300
168	385	298
169	387	296
170	389	293
171	391	291
172	393	288
173	395	286
174	398	284
175	400	281
176	402	279
177	404	277
178	407	275
179	409	273
180	412	270
181	414	268
182	416	266
183	418	263
184	420	261
185	422	259
186	424	256
187	427	254
188	429	252
189	431	249
190	433	247
191	435	245
192	438	242
193	440	240
194	442	238
195	444	236
196	447	233
197	449	231
198	452	229
199	454	227
200	457	225
201	459	222
202	461	220
203	464	218
204	466	216
205	468	213
206	471	211
207	473	209
208	475	207
209	477	204
210	480	202
211	482	200
212	484	197
213	486	195
214	488	193
215	490	190
216	493	188
217	495	186
218	497	183
219	499	181
220	501	179
221	504	177
222	506	174
223	509	172
224	511	170
225	513	168
226	515	165
227	518	163
228	520	161
229	522	158
230	524	156
231	526	154
232	528	151
233	530	149
234	533	147
235	535	145
236	538	143
237	540	140
238	542	138
239	545	136
240	547	134
241	549	131
242	551	129
243	554	127
244	556	124
245	558	122
246	560	120
247	562	117
248	565	115
249	567	113
250	569	111
251	571	108
252	573	106
253	575	104
254	577	101
255	579	99
256	582	97
257	584	95
258	587	92
259	589	90
260	591	88
261	593	86
262	596	83
263	598	81
264	600	79
265	602	77
266	604	74
267	606	72
268	608	70
269	611	67
270	613	65
271	615	63
272	617	61
273	620	58
274	622	56
275	624	54
276	627	52
277	629	49
278	631	47
279	634	45
280	636	43
281	638	40
282	640	38
283	642	36
284	644	33
285	646	31
286	649	29
287	651	27
288	653	24
289	655	22
290	658	20
291	660	18
292	662	15
293	665	13
294	667	11
295	669	9
296	672	6
297	674	4
298	677	2
299	679	0
